チェーン店店舗名
マクドナルド
モスバーガー
ケンタッキーフライドチキン
バーガーキング
ロッテリア
フレッシュネスバーガー
ウェンディーズ
ファーストキッチン
すき家
吉野家
松屋
なか卯
スターバックス
スタバ
ドトールコーヒー
エクセルシオールカフェ
タリーズコーヒー
コメダ珈琲店
サンマルクカフェ
プロント
上島珈琲店
星乃珈琲店
倉式珈琲店
珈琲館
ガスト
サイゼリヤ
バーミヤン
ジョナサン
デニーズ
ロイヤルホスト
ココス
びっくりドンキー
ジョイフル
夢庵
和食さと
華屋与兵衛
大戸屋
やよい軒
宮本むなし
てんや
天丼てんや
丸亀製麺
はなまるうどん
資さんうどん
ウエスト
リンガーハット
長崎ちゃんぽんリンガーハット
一蘭
一風堂
天下一品
来来亭
幸楽苑
日高屋
丸源ラーメン
ずんどう屋
スガキヤ
神座
どうとんぼり神座
スシロー
くら寿司
はま寿司
かっぱ寿司
魚べい
元気寿司
銚子丸
すし銚子丸
銀のさら
すしざんまい
築地銀だこ
銀だこ
たこ焼道楽わなか
くくる
鳥貴族
和民
笑笑
白木屋
魚民
山内農場
塚田農場
磯丸水産
庄や
やきとり大吉
秋吉
土間土間
ミライザカ
金の蔵
甘太郎
北海道
くいもの屋わん
牛角
焼肉きんぐ
安楽亭
叙々苑
牛繁
ワンカルビ
焼肉ライク
あみやき亭
炭火焼肉酒家牛角
しゃぶ葉
温野菜
木曽路
しゃぶしゃぶどん亭
しゃぶしゃぶ温野菜
いきなりステーキ
ステーキガスト
ブロンコビリー
ペッパーランチ
フォルクス
ビッグボーイ
CoCo壱番屋
ゴーゴーカレー
カレーハウスリオ
カレーハウスサンマルコ
日乃屋カレー
大阪王将
餃子の王将
551蓬莱
サブウェイ
ピザーラ
ドミノピザ
ピザハット
ナポリの窯
アオキーズピザ
ストロベリーコーンズ
ジョリーパスタ
鎌倉パスタ
ポポラマーマ
五右衛門
洋麺屋五右衛門
カプリチョーザ
ラ・パウザ
かつや
松のや
さぼてん
新宿さぼてん
いなば和幸
とんかつ和幸
とんかつKYK
まい泉
天ぷらまきの
てんぷら天丼てんや
丸亀製麺
はなまるうどん
資さんうどん
ウエスト
リンガーハット
銀だこハイボール酒場
世界の山ちゃん
風来坊
赤から
山本屋本店
矢場とん
スープストックトーキョー
Soup Stock Tokyo
クリスピークリームドーナツ
ミスタードーナツ
31アイスクリーム
サーティワンアイスクリーム
ゴディバカフェ
DEAN & DELUCA
ディーンアンドデルーカ
松屋フーズ
松屋食堂
からやま
から好し
伝説のすた丼屋
すた丼
てけてけ
磯丸水産食堂
大衆酒場ちばチャン
串カツ田中
新時代
肉汁餃子のダンダダン
ダンダダン酒場
や台ずし
鳥メロ
三代目鳥メロ
てんぐ大ホール
天狗
さくら水産
一軒め酒場
養老乃瀧
串家物語
鳥二郎
焼鳥日高
中華東秀
れんげ食堂Toshu
福しん
日乃屋食堂
やっぱりステーキ
いきなりステーキダイナー
ステーキ宮
宮ステーキ
ステーキハウスフォルクス
カフェベローチェ
ベローチェ
PRONTO
PRONTO IL BAR
カフェドクリエ
ドトール
ドトール珈琲農園
エクセルシオール
タリーズ
上島珈琲
猿田彦珈琲
ブルーボトルコーヒー
ブルーボトル
ゴンチャ
Gong cha
チャタイム
Chatime
一風堂RAMEN EXPRESS
リンガーハットプレミアム
丸亀製麺所
はなまる
ペッパーランチダイナー
ペッパーランチExpress
サブウェイサンドイッチ
ケンタッキーKFC
KFC
マック
McDonald's
BURGER KING
ブッチャー・リパブリック
果汁工房 果琳
東京飯店
ジンギスカン楽太郎
BBQDAYS
赤垣屋
すずや
かつ敏
串揚げ いやさか
りんごとバター。
もつ鍋専門店 元祖もつ鍋楽天地
我馬
天吉うどん
BAKERY&CAFE GAUDI
Com Pho
プルミエ サンジェルマン
なだ万
徳
中央軒
そばの神田 東一屋
べんとう家 ごはんごはん
ザ・シティ・ベーカリー レストラン
KollaBo
支那そば 餐休
しゃぶ菜
サロン・ド・ロワイヤル
玄三庵
きくや
鳥どり
おっ母さん 食品館
コンフォートイン
博多ラーメン 膳
それゆけ!鶏ヤロー!
串の坊
おたる 政寿司
伝説のステーキ屋
ピエール・マルコリーニ
お醤油屋さんのおせんべい本舗
しゃぶ禅
プングム
ナッツダム
竹取酒物語
魚萬
スーパーヤオヒコ
焼鳥一休
丸屋本店
カフェ ダウニー
九州屋台 九太郎
新井園本店
焼肉飯店 京昌園
マミーズ・アン・スリール
博多いもっ子屋
焼肉ホルモン木々家
炭火やBB
ラーメンさんぱち
ラグノオ
すし 金太郎
鎌倉五郎
あげもち屋
アンド ザ フリット
HANAGATAYA
五穀豊穣のお茶屋ごはん 五木茶屋
純米酒専門 YATA
東京ミルクチーズ工場
あべのたこやき やまちゃん
ぎんざ磯むら
UCCカフェメルカード
焼きたてのかるび
青木屋
おいもわかいも
銀だこ
王寿庵
徳川ホルモンセンター
炉ばた情緒 かっこ
牛タンいろ葉
横浜家系ラーメン 辻田家
口八町
大衆イタリアン かね子
旅弁当
